,number,county,state,lat,lng
153,882,Wilson County,Tennessee,36.1626241,-86.2970998
154,1405,Broome County,New York,42.1791865,-75.8533954
155,949,Graham County,Arizona,33.076805,-109.7591675
156,1179,Lamoille County,Vermont,44.64334179999999,-72.6314026
157,7823,Otero County,New Mexico,32.6341716,-105.5943388
158,2226,Plumas County,California,39.99268319999999,-120.8039474
159,4643,Steuben County,New York,42.321027,-77.3783789
160,661,Curry County,Oregon,42.54405029999999,-124.2781762
161,664,Deschutes County,Oregon,43.83251,-121.2616541
162,292,Floyd County,Indiana,38.2869276,-85.8895551
163,3564,Franklin County,Pennsylvania,39.8923855,-77.6536125
164,3798,Humboldt County,California,40.7450055,-123.8695086
165,3002,Indiana County,Pennsylvania,40.6850762,-79.1096901
166,1082,Meade County,South Dakota,44.4415188,-102.6855069
167,1170,Montgomery County,Maryland,39.1547426,-77.2405153
168,3541,Adams County,Pennsylvania,39.8522417,-77.2864879
169,493,Cannon County,Tennessee,35.8070317,-86.05296039999999
170,4901,Chemung County,New York,42.1362071,-76.7798172
171,2137,El Dorado County,California,38.74263759999999,-120.4357631
172,1995,Fairbanks County,Alaska,64.8377778,-147.7163888
173,1525,Monroe County,New York,43.2841246,-77.7452081
174,3895,Otero County,New Mexico,32.6341716,-105.5943388
175,1373,Routt County,Colorado,40.4771623,-107.1011931
176,6304,San Bernardino County,California,34.9592083,-116.419389
177,2319,Valley County,Idaho,44.9204669,-115.7926381
178,8135,Worcester County,Maryland,38.1584227,-75.4344727
179,3360,Adams County,Pennsylvania,39.8522417,-77.2864879
180,7300,Anoka County,Minnesota,45.3292832,-93.2197005
181,26011,Athens County,Ohio,39.30303079999999,-82.12783999999999
182,2457,Bartholomew County,Indiana,39.206801,-85.8895551
183,2461,Brown County,Indiana,39.1749729,-86.17517590000001
184,2475,Clark County,Indiana,38.4492903,-85.7256372
185,1350,Conejos County,Colorado,37.2689711,-106.2522143
186,1655,Del Norte County,California,41.7076287,-123.9659708
187,1733,Maricopa County,Arizona,33.2917968,-112.4291464
188,7421,Oxford County,Maine,44.4906897,-70.7840564
189,5535,Sandoval County,New Mexico,35.6020667,-106.7234639
190,22600,Taney County,Missouri,36.6576378,-93.0175712
191,596,Trinity County,California,40.6329485,-123.0622553
192,2347,Weber County,Utah,41.2602635,-111.9522491
193,2375,Yavapai County,Arizona,34.6463981,-112.4291464
194,2678,Androscoggin County,Maine,44.19124160000001,-70.17070369999999
195,2898,Fayette County,Pennsylvania,39.9272324,-79.6502105
196,684,Lake County,Oregon,42.6986344,-120.565768
197,396,Piute County,Utah,38.3997408,-112.1430215
198,2878,Tulare County,California,36.1341739,-118.8596804
199,827,Humboldt County,California,40.7450055,-123.8695086
200,6419,Lauderdale County,Tennessee,35.7838834,-89.6628111
201,914,Marshall County,Tennessee,35.4792517,-86.7818523
202,1452,Middlesex County,New Jersey,40.4111363,-74.35874729999999
203,1211,Oscoda County,Michigan,44.6278903,-84.1857115
204,537,Otero County,New Mexico,32.6341716,-105.5943388
205,25631,St. Lawrence County,New York,44.4473142,-74.930206
206,533,Trinity County,California,40.6329485,-123.0622553
207,3214,Anne Arundel County,Maryland,38.9530109,-76.5488232
208,5297,Anne Arundel County,Maryland,38.9530109,-76.5488232
209,2666,Baltimore County,Maryland,39.4647665,-76.7336521
210,4589,Cattaraugus County,New York,42.2318132,-78.74762079999999
